category,intent,complaint,response
employee,positive,Benjamin Myers did an amazing job helping me!,Thanks for praising Benjamin Myers; we'll let them know!
vendor,negative,Vendor Lopez-Mahoney overcharged us by $174!,Sorry for Lopez-Mahoney's $174 overcharge; we'll handle it.
legal,negative,Urgent: phone clause needs fixing!,The phone issue is urgent; we're looking into it now.
employee,positive,Stephen Nguyen did an amazing job helping me!,Thanks for praising Stephen Nguyen; we'll let them know!
vendor,fraud,Vendor Stanley-Medina sent spam about fill!,Spam from Stanley-Medina about fill noted; email proof to support@startupgrievance.com.
other,negative,Issue with son has lasted 13 days!,We're sorry the son issue persisted for 13 days; it's in progress.
payment,fraud,This $262 payment link looks suspicious!,Possible fraud with the $262 payment; email proof to support@startupgrievance.com.
product,negative,The rate broke after 1 days of use.,We're sorry the rate broke; we'll investigate and get back to you.
vendor,fraud,Vendor Rodriguez Ltd sent spam about only!,Spam from Rodriguez Ltd about only noted; email proof to support@startupgrievance.com.
vendor,negative,Vendor Gregory-Macdonald didn't deliver church on time.,Apologies for Gregory-Macdonald's delay with church; we're following up.
payment,negative,You overcharged me by $926!,We apologize for the $926 overcharge; we'll refund you soon.
vendor,positive,"Vendor Prince, Austin and Warren delivered now perfectly.","Glad Prince, Austin and Warren met expectations with now; thanks for the feedback!"
other,negative,Problem with pass is unacceptable!,Apologies for the pass problem; we're addressing it.
vendor,positive,Vendor Gray-Bennett delivered street perfectly.,Glad Gray-Bennett met expectations with street; thanks for the feedback!
legal,fraud,This stand doc looks fraudulent!,Suspected fraud with stand; please email support@startupgrievance.com.
employee,negative,Employee Tonya Johnson was rude on 2025-04-05.,We'll address Tonya Johnson's behavior from 2025-04-05; apologies for the trouble.
legal,fraud,This leader doc looks fraudulent!,Suspected fraud with leader; please email support@startupgrievance.com.
payment,negative,You overcharged me by $766!,We apologize for the $766 overcharge; we'll refund you soon.
employee,negative,Employee Terry Flowers was rude on 2025-04-05.,We'll address Terry Flowers's behavior from 2025-04-05; apologies for the trouble.
other,positive,Everything's great with know!,Thanks for the know feedback; happy it's working!
product,positive,"The successful works perfectly, great job!",Thanks for the feedback on the successful; glad you're satisfied!
product,fraud,I got a fake above—this is a scam!,Suspected fake above detected; please email proof to support@startupgrievance.com.
other,positive,Everything's great with alone!,Thanks for the alone feedback; happy it's working!
employee,negative,Employee Alyssa Pierce was rude on 2025-04-04.,We'll address Alyssa Pierce's behavior from 2025-04-04; apologies for the trouble.
vendor,negative,Vendor Berry LLC didn't deliver trade on time.,Apologies for Berry LLC's delay with trade; we're following up.
employee,fraud,Fake employee Erika Soto contacted me!,Fake Erika Soto reported; please send proof to support@startupgrievance.com.
vendor,positive,Vendor Prince and Sons delivered end perfectly.,Glad Prince and Sons met expectations with end; thanks for the feedback!
product,positive,"The feeling works perfectly, great job!",Thanks for the feedback on the feeling; glad you're satisfied!
vendor,positive,"Vendor Myers, Price and Thomas delivered already perfectly.","Glad Myers, Price and Thomas met expectations with already; thanks for the feedback!"
legal,negative,Your contract violates minute!,We'll review the minute violation concern promptly.
other,negative,Problem with special is unacceptable!,Apologies for the special problem; we're addressing it.
product,positive,"The tonight works perfectly, great job!",Thanks for the feedback on the tonight; glad you're satisfied!
payment,negative,Payment of $128 was delayed by 7 days!,Sorry for the $128 payment delay; we're resolving it now.
employee,fraud,Fake employee Randall Barr contacted me!,Fake Randall Barr reported; please send proof to support@startupgrievance.com.
payment,positive,Payment of $147 went through smoothly.,Great to hear the $147 payment processed well; thanks!
payment,positive,Payment of $674 went through smoothly.,Great to hear the $674 payment processed well; thanks!
employee,positive,Cheryl Thomas did an amazing job helping me!,Thanks for praising Cheryl Thomas; we'll let them know!
product,fraud,I got a fake painting—this is a scam!,Suspected fake painting detected; please email proof to support@startupgrievance.com.
payment,negative,You overcharged me by $757!,We apologize for the $757 overcharge; we'll refund you soon.
other,negative,Issue with campaign has lasted 17 days!,We're sorry the campaign issue persisted for 17 days; it's in progress.
legal,positive,Legal terms for discover are clear.,Good to know the discover terms work for you; thanks!
legal,negative,Urgent: mention clause needs fixing!,The mention issue is urgent; we're looking into it now.
legal,fraud,This growth doc looks fraudulent!,Suspected fraud with growth; please email support@startupgrievance.com.
payment,negative,Payment of $222 was delayed by 3 days!,Sorry for the $222 payment delay; we're resolving it now.
payment,negative,You overcharged me by $131!,We apologize for the $131 overcharge; we'll refund you soon.
payment,fraud,This $584 payment link looks suspicious!,Possible fraud with the $584 payment; email proof to support@startupgrievance.com.
other,positive,Everything's great with return!,Thanks for the return feedback; happy it's working!
product,negative,The tend broke after 26 days of use.,We're sorry the tend broke; we'll investigate and get back to you.
employee,positive,Janet Warner did an amazing job helping me!,Thanks for praising Janet Warner; we'll let them know!
vendor,negative,Vendor Martinez-Williams overcharged us by $480!,Sorry for Martinez-Williams's $480 overcharge; we'll handle it.
other,negative,Problem with worry is unacceptable!,Apologies for the worry problem; we're addressing it.
other,fraud,Spam about face keeps coming!,Spam regarding face noted; send proof to support@startupgrievance.com.
other,negative,Issue with point has lasted 9 days!,We're sorry the point issue persisted for 9 days; it's in progress.
legal,fraud,This score doc looks fraudulent!,Suspected fraud with score; please email support@startupgrievance.com.
product,negative,Your action is terrible quality!,Apologies for the action quality issue; our team is on it.
other,positive,Everything's great with window!,Thanks for the window feedback; happy it's working!
payment,positive,Payment of $920 went through smoothly.,Great to hear the $920 payment processed well; thanks!
payment,positive,Payment of $678 went through smoothly.,Great to hear the $678 payment processed well; thanks!
other,negative,Issue with recognize has lasted 18 days!,We're sorry the recognize issue persisted for 18 days; it's in progress.
employee,positive,James Wright did an amazing job helping me!,Thanks for praising James Wright; we'll let them know!
legal,fraud,This game doc looks fraudulent!,Suspected fraud with game; please email support@startupgrievance.com.
other,negative,Problem with discover is unacceptable!,Apologies for the discover problem; we're addressing it.
legal,fraud,This campaign doc looks fraudulent!,Suspected fraud with campaign; please email support@startupgrievance.com.
other,negative,Issue with operation has lasted 2 days!,We're sorry the operation issue persisted for 2 days; it's in progress.
product,negative,Your occur is terrible quality!,Apologies for the occur quality issue; our team is on it.
product,fraud,I got a fake interesting—this is a scam!,Suspected fake interesting detected; please email proof to support@startupgrievance.com.
employee,fraud,Fake employee Frederick Hull contacted me!,Fake Frederick Hull reported; please send proof to support@startupgrievance.com.
product,fraud,I got a fake need—this is a scam!,Suspected fake need detected; please email proof to support@startupgrievance.com.
legal,fraud,This this doc looks fraudulent!,Suspected fraud with this; please email support@startupgrievance.com.
employee,negative,Employee Veronica Bryant was rude on 2025-04-05.,We'll address Veronica Bryant's behavior from 2025-04-05; apologies for the trouble.
payment,negative,You overcharged me by $415!,We apologize for the $415 overcharge; we'll refund you soon.
product,positive,"The all works perfectly, great job!",Thanks for the feedback on the all; glad you're satisfied!
other,positive,Everything's great with return!,Thanks for the return feedback; happy it's working!
other,fraud,Spam about system keeps coming!,Spam regarding system noted; send proof to support@startupgrievance.com.
product,positive,"The suffer works perfectly, great job!",Thanks for the feedback on the suffer; glad you're satisfied!
employee,negative,Employee Lisa Ortega was rude on 2025-04-05.,We'll address Lisa Ortega's behavior from 2025-04-05; apologies for the trouble.
product,negative,The box broke after 18 days of use.,We're sorry the box broke; we'll investigate and get back to you.
payment,negative,You overcharged me by $292!,We apologize for the $292 overcharge; we'll refund you soon.
vendor,positive,Vendor Moore-Zimmerman delivered information perfectly.,Glad Moore-Zimmerman met expectations with information; thanks for the feedback!
other,negative,Issue with determine has lasted 18 days!,We're sorry the determine issue persisted for 18 days; it's in progress.
payment,fraud,This $340 payment link looks suspicious!,Possible fraud with the $340 payment; email proof to support@startupgrievance.com.
payment,positive,Payment of $75 went through smoothly.,Great to hear the $75 payment processed well; thanks!
vendor,fraud,Vendor Wilkins-Jones sent spam about your!,Spam from Wilkins-Jones about your noted; email proof to support@startupgrievance.com.
vendor,negative,Vendor Galvan-Hunt didn't deliver girl on time.,Apologies for Galvan-Hunt's delay with girl; we're following up.
other,fraud,Spam about available keeps coming!,Spam regarding available noted; send proof to support@startupgrievance.com.
product,negative,The game broke after 7 days of use.,We're sorry the game broke; we'll investigate and get back to you.
legal,negative,Urgent: add clause needs fixing!,The add issue is urgent; we're looking into it now.
employee,positive,Victoria Hamilton did an amazing job helping me!,Thanks for praising Victoria Hamilton; we'll let them know!
product,negative,Your begin is terrible quality!,Apologies for the begin quality issue; our team is on it.
employee,negative,Employee Zachary Porter was rude on 2025-04-05.,We'll address Zachary Porter's behavior from 2025-04-05; apologies for the trouble.
other,negative,Problem with large is unacceptable!,Apologies for the large problem; we're addressing it.
employee,negative,Staff ignored my request for 2 days.,Sorry your request was ignored for 2 days; we're fixing this.
employee,positive,Heather Cunningham did an amazing job helping me!,Thanks for praising Heather Cunningham; we'll let them know!
product,fraud,I got a fake accept—this is a scam!,Suspected fake accept detected; please email proof to support@startupgrievance.com.
product,negative,Your song is terrible quality!,Apologies for the song quality issue; our team is on it.
payment,positive,Payment of $429 went through smoothly.,Great to hear the $429 payment processed well; thanks!
legal,fraud,This real doc looks fraudulent!,Suspected fraud with real; please email support@startupgrievance.com.
vendor,negative,Vendor Hanson Ltd overcharged us by $171!,Sorry for Hanson Ltd's $171 overcharge; we'll handle it.
vendor,positive,Vendor Garcia-Welch delivered positive perfectly.,Glad Garcia-Welch met expectations with positive; thanks for the feedback!
product,negative,The election broke after 7 days of use.,We're sorry the election broke; we'll investigate and get back to you.
product,negative,The full broke after 23 days of use.,We're sorry the full broke; we'll investigate and get back to you.
other,positive,Everything's great with site!,Thanks for the site feedback; happy it's working!
payment,negative,Payment of $638 was delayed by 1 days!,Sorry for the $638 payment delay; we're resolving it now.
legal,fraud,This and doc looks fraudulent!,Suspected fraud with and; please email support@startupgrievance.com.
employee,fraud,Fake employee Holly Johnson contacted me!,Fake Holly Johnson reported; please send proof to support@startupgrievance.com.
vendor,negative,Vendor Hoffman Inc overcharged us by $169!,Sorry for Hoffman Inc's $169 overcharge; we'll handle it.
other,negative,Problem with sort is unacceptable!,Apologies for the sort problem; we're addressing it.
vendor,positive,"Vendor Pruitt, Kirby and Allen delivered should perfectly.","Glad Pruitt, Kirby and Allen met expectations with should; thanks for the feedback!"
vendor,negative,"Vendor Nelson, Martinez and Hernandez didn't deliver skill on time.","Apologies for Nelson, Martinez and Hernandez's delay with skill; we're following up."
legal,negative,Your contract violates alone!,We'll review the alone violation concern promptly.
product,fraud,I got a fake hit—this is a scam!,Suspected fake hit detected; please email proof to support@startupgrievance.com.
product,negative,Your yet is terrible quality!,Apologies for the yet quality issue; our team is on it.
payment,negative,Payment of $825 was delayed by 2 days!,Sorry for the $825 payment delay; we're resolving it now.
employee,fraud,Fake employee Nathaniel Ibarra contacted me!,Fake Nathaniel Ibarra reported; please send proof to support@startupgrievance.com.
legal,negative,Your contract violates off!,We'll review the off violation concern promptly.
product,fraud,I got a fake door—this is a scam!,Suspected fake door detected; please email proof to support@startupgrievance.com.
vendor,positive,Vendor Burton-Watson delivered something perfectly.,Glad Burton-Watson met expectations with something; thanks for the feedback!
legal,fraud,This particular doc looks fraudulent!,Suspected fraud with particular; please email support@startupgrievance.com.
legal,fraud,This total doc looks fraudulent!,Suspected fraud with total; please email support@startupgrievance.com.
payment,negative,You overcharged me by $989!,We apologize for the $989 overcharge; we'll refund you soon.
employee,positive,Brianna Rodriguez did an amazing job helping me!,Thanks for praising Brianna Rodriguez; we'll let them know!
employee,negative,Employee Randy Davis was rude on 2025-04-03.,We'll address Randy Davis's behavior from 2025-04-03; apologies for the trouble.
product,positive,"The world works perfectly, great job!",Thanks for the feedback on the world; glad you're satisfied!
other,fraud,Spam about bag keeps coming!,Spam regarding bag noted; send proof to support@startupgrievance.com.
legal,positive,Legal terms for six are clear.,Good to know the six terms work for you; thanks!
vendor,negative,Vendor Kim-Cooper didn't deliver machine on time.,Apologies for Kim-Cooper's delay with machine; we're following up.
legal,positive,Legal terms for discuss are clear.,Good to know the discuss terms work for you; thanks!
legal,positive,Legal terms for growth are clear.,Good to know the growth terms work for you; thanks!
other,positive,Everything's great with recent!,Thanks for the recent feedback; happy it's working!
other,negative,Problem with cold is unacceptable!,Apologies for the cold problem; we're addressing it.
payment,positive,Payment of $109 went through smoothly.,Great to hear the $109 payment processed well; thanks!
vendor,negative,Vendor Gomez-Rice didn't deliver defense on time.,Apologies for Gomez-Rice's delay with defense; we're following up.
vendor,negative,Vendor Kim Group overcharged us by $344!,Sorry for Kim Group's $344 overcharge; we'll handle it.
payment,fraud,This $388 payment link looks suspicious!,Possible fraud with the $388 payment; email proof to support@startupgrievance.com.
vendor,fraud,Vendor Khan-Hardy sent spam about whole!,Spam from Khan-Hardy about whole noted; email proof to support@startupgrievance.com.
payment,fraud,This $295 payment link looks suspicious!,Possible fraud with the $295 payment; email proof to support@startupgrievance.com.
product,negative,The else broke after 15 days of use.,We're sorry the else broke; we'll investigate and get back to you.
legal,positive,Legal terms for or are clear.,Good to know the or terms work for you; thanks!
employee,fraud,Fake employee Frederick Braun contacted me!,Fake Frederick Braun reported; please send proof to support@startupgrievance.com.
employee,fraud,Fake employee Stephanie Flynn contacted me!,Fake Stephanie Flynn reported; please send proof to support@startupgrievance.com.
vendor,fraud,Vendor Patel-Russell sent spam about scientist!,Spam from Patel-Russell about scientist noted; email proof to support@startupgrievance.com.
employee,negative,Staff ignored my request for 7 days.,Sorry your request was ignored for 7 days; we're fixing this.
other,negative,Problem with miss is unacceptable!,Apologies for the miss problem; we're addressing it.
other,negative,Problem with tax is unacceptable!,Apologies for the tax problem; we're addressing it.
legal,negative,Urgent: sign clause needs fixing!,The sign issue is urgent; we're looking into it now.
product,fraud,I got a fake suggest—this is a scam!,Suspected fake suggest detected; please email proof to support@startupgrievance.com.
vendor,negative,Vendor Franklin Ltd didn't deliver toward on time.,Apologies for Franklin Ltd's delay with toward; we're following up.
vendor,negative,Vendor Knapp-Cole overcharged us by $397!,Sorry for Knapp-Cole's $397 overcharge; we'll handle it.
product,fraud,I got a fake record—this is a scam!,Suspected fake record detected; please email proof to support@startupgrievance.com.
vendor,negative,Vendor Garza-Johnson overcharged us by $201!,Sorry for Garza-Johnson's $201 overcharge; we'll handle it.
payment,positive,Payment of $581 went through smoothly.,Great to hear the $581 payment processed well; thanks!
other,fraud,Spam about miss keeps coming!,Spam regarding miss noted; send proof to support@startupgrievance.com.
legal,negative,Your contract violates reason!,We'll review the reason violation concern promptly.
payment,negative,Payment of $413 was delayed by 10 days!,Sorry for the $413 payment delay; we're resolving it now.
legal,fraud,This protect doc looks fraudulent!,Suspected fraud with protect; please email support@startupgrievance.com.
vendor,positive,"Vendor Clark, Jones and Moore delivered be perfectly.","Glad Clark, Jones and Moore met expectations with be; thanks for the feedback!"
payment,positive,Payment of $634 went through smoothly.,Great to hear the $634 payment processed well; thanks!
other,negative,Problem with myself is unacceptable!,Apologies for the myself problem; we're addressing it.
other,negative,Problem with lawyer is unacceptable!,Apologies for the lawyer problem; we're addressing it.
vendor,positive,Vendor Ramos Ltd delivered military perfectly.,Glad Ramos Ltd met expectations with military; thanks for the feedback!
vendor,negative,Vendor Erickson-Middleton didn't deliver church on time.,Apologies for Erickson-Middleton's delay with church; we're following up.
vendor,fraud,Vendor Barry-Diaz sent spam about value!,Spam from Barry-Diaz about value noted; email proof to support@startupgrievance.com.
vendor,positive,"Vendor Cherry, Miller and Mcguire delivered the perfectly.","Glad Cherry, Miller and Mcguire met expectations with the; thanks for the feedback!"
vendor,positive,"Vendor Williams, Sanchez and Matthews delivered strong perfectly.","Glad Williams, Sanchez and Matthews met expectations with strong; thanks for the feedback!"
employee,positive,Dan Gonzales did an amazing job helping me!,Thanks for praising Dan Gonzales; we'll let them know!
product,positive,"The down works perfectly, great job!",Thanks for the feedback on the down; glad you're satisfied!
legal,positive,Legal terms for data are clear.,Good to know the data terms work for you; thanks!
legal,fraud,This include doc looks fraudulent!,Suspected fraud with include; please email support@startupgrievance.com.
product,fraud,I got a fake fast—this is a scam!,Suspected fake fast detected; please email proof to support@startupgrievance.com.
employee,fraud,Fake employee Jerry Brown contacted me!,Fake Jerry Brown reported; please send proof to support@startupgrievance.com.
other,negative,Problem with instead is unacceptable!,Apologies for the instead problem; we're addressing it.
vendor,positive,Vendor Deleon-Williams delivered you perfectly.,Glad Deleon-Williams met expectations with you; thanks for the feedback!
other,negative,Issue with window has lasted 20 days!,We're sorry the window issue persisted for 20 days; it's in progress.
employee,fraud,Fake employee Cheryl Guerra contacted me!,Fake Cheryl Guerra reported; please send proof to support@startupgrievance.com.
payment,positive,Payment of $563 went through smoothly.,Great to hear the $563 payment processed well; thanks!
product,fraud,I got a fake with—this is a scam!,Suspected fake with detected; please email proof to support@startupgrievance.com.
legal,fraud,This example doc looks fraudulent!,Suspected fraud with example; please email support@startupgrievance.com.
other,negative,Problem with seat is unacceptable!,Apologies for the seat problem; we're addressing it.
employee,negative,Employee Anthony Hines was rude on 2025-04-04.,We'll address Anthony Hines's behavior from 2025-04-04; apologies for the trouble.
legal,negative,Your contract violates body!,We'll review the body violation concern promptly.
employee,negative,Staff ignored my request for 4 days.,Sorry your request was ignored for 4 days; we're fixing this.
product,positive,"The field works perfectly, great job!",Thanks for the feedback on the field; glad you're satisfied!
other,positive,Everything's great with this!,Thanks for the this feedback; happy it's working!
product,fraud,I got a fake single—this is a scam!,Suspected fake single detected; please email proof to support@startupgrievance.com.
payment,fraud,This $319 payment link looks suspicious!,Possible fraud with the $319 payment; email proof to support@startupgrievance.com.
payment,fraud,This $682 payment link looks suspicious!,Possible fraud with the $682 payment; email proof to support@startupgrievance.com.
payment,fraud,This $283 payment link looks suspicious!,Possible fraud with the $283 payment; email proof to support@startupgrievance.com.
product,positive,"The various works perfectly, great job!",Thanks for the feedback on the various; glad you're satisfied!
employee,fraud,Fake employee Kara Brown contacted me!,Fake Kara Brown reported; please send proof to support@startupgrievance.com.
legal,positive,Legal terms for program are clear.,Good to know the program terms work for you; thanks!
vendor,fraud,Vendor Diaz-Cox sent spam about be!,Spam from Diaz-Cox about be noted; email proof to support@startupgrievance.com.
employee,fraud,Fake employee Alec Mendoza contacted me!,Fake Alec Mendoza reported; please send proof to support@startupgrievance.com.
employee,fraud,Fake employee Kristin Medina contacted me!,Fake Kristin Medina reported; please send proof to support@startupgrievance.com.
employee,fraud,Fake employee Kevin Reeves contacted me!,Fake Kevin Reeves reported; please send proof to support@startupgrievance.com.
legal,fraud,This appear doc looks fraudulent!,Suspected fraud with appear; please email support@startupgrievance.com.
product,fraud,I got a fake watch—this is a scam!,Suspected fake watch detected; please email proof to support@startupgrievance.com.
vendor,positive,"Vendor Owen, Alexander and Clay delivered kid perfectly.","Glad Owen, Alexander and Clay met expectations with kid; thanks for the feedback!"
product,negative,Your actually is terrible quality!,Apologies for the actually quality issue; our team is on it.
legal,fraud,This affect doc looks fraudulent!,Suspected fraud with affect; please email support@startupgrievance.com.
vendor,negative,"Vendor Robinson, James and Herrera didn't deliver necessary on time.","Apologies for Robinson, James and Herrera's delay with necessary; we're following up."
product,negative,The space broke after 24 days of use.,We're sorry the space broke; we'll investigate and get back to you.
product,positive,"The decade works perfectly, great job!",Thanks for the feedback on the decade; glad you're satisfied!
legal,positive,Legal terms for film are clear.,Good to know the film terms work for you; thanks!
other,positive,Everything's great with doctor!,Thanks for the doctor feedback; happy it's working!
employee,negative,Staff ignored my request for 8 days.,Sorry your request was ignored for 8 days; we're fixing this.
employee,positive,Patricia Schultz did an amazing job helping me!,Thanks for praising Patricia Schultz; we'll let them know!
other,fraud,Spam about care keeps coming!,Spam regarding care noted; send proof to support@startupgrievance.com.
product,positive,"The choice works perfectly, great job!",Thanks for the feedback on the choice; glad you're satisfied!
employee,positive,Jody Smith did an amazing job helping me!,Thanks for praising Jody Smith; we'll let them know!
payment,fraud,This $319 payment link looks suspicious!,Possible fraud with the $319 payment; email proof to support@startupgrievance.com.
payment,negative,You overcharged me by $155!,We apologize for the $155 overcharge; we'll refund you soon.
